twitterProfileId,username,displayName,avatarUrl,followersCount,kolScore,smartFollowersCount,followedAt,tags
1503259657892429828,Rav_Hedda,Hedda🐽💥,https://pbs.twimg.com/profile_images/1897805114397659136/8QmN7Gzp_200x200.jpg,31361,0,0,2024-08-30T04:57:56.634Z,
155228914,resaang,Resaang,https://pbs.twimg.com/profile_images/1900440164360392704/kc8ylwVb_200x200.jpg,31223,0,0,2024-09-11T22:50:43.130Z,
1509434003949965314,roger9949,Roger波杰克,https://pbs.twimg.com/profile_images/1774409067311886336/xHwEChQg_200x200.jpg,30411,0,0,2025-01-22T17:02:18.289Z,
1192977555256696834,bonglovi,𝔟𝔬𝔫𝔤𝔩𝔬,https://pbs.twimg.com/profile_images/1737298754267430912/__95yK4i_200x200.png,29826,0,0,2024-10-04T08:02:14.741Z,
1422067849816940547,0xvopa,vopa,https://pbs.twimg.com/profile_images/1873530567280500736/ZiJg9ypW_200x200.jpg,28222,0,0,2024-10-16T16:01:38.097Z,
1455409684240764928,BL3_EED,BL3ED 🔺,https://pbs.twimg.com/profile_images/1919740314975191040/EQVGKb4a_200x200.jpg,27754,0,0,2024-09-11T21:32:35.138Z,
1259599952038297600,CaptainCKeth,CaptainCK.eth 🏴‍☠️,https://pbs.twimg.com/profile_images/1795597506937606144/WpZznz5i_200x200.jpg,27113,0,0,2024-09-11T21:34:50.194Z,
29014224,erikaleetv,Erika Lee,https://pbs.twimg.com/profile_images/1876250229311209472/3etgXBCO_200x200.jpg,27060,0,0,2024-09-11T21:50:22.666Z,
1446754212310773761,youmin8341,游民,https://pbs.twimg.com/profile_images/1814095553082601472/fO9qxlnt_200x200.jpg,26815,0,0,2024-09-11T23:00:24.482Z,
1555657901619937280,LoshmiOnChain,Loshmi,https://pbs.twimg.com/profile_images/1882465730261639171/sT8ABOoF_200x200.jpg,26685,0,0,2025-01-15T21:51:42.168Z,
128511600,notNFTnews,Noot,https://pbs.twimg.com/profile_images/1902664607048814592/0m-egXbB_200x200.jpg,26426,0,0,2024-08-30T04:57:56.634Z,
1405153657751019521,CrypSaf,SafZ,https://pbs.twimg.com/profile_images/1683213602013036544/GuQn2-Ig_200x200.jpg,25750,0,0,2024-09-11T21:38:43.774Z,
1313383566294745089,skid_eth,Skid,https://pbs.twimg.com/profile_images/1695051431441747968/v_HMGh3__200x200.jpg,25578,0,0,2024-09-11T22:12:16.194Z,
101640475,Cryptking_1,Cryptking.eth 👑 🦍,https://pbs.twimg.com/profile_images/1608976530171985920/O5GWx3jG_200x200.jpg,25456,0,0,2024-09-11T23:13:50.782Z,
1398350690918060039,RiceFarmerNFT,Ricefarmer 🍚,https://pbs.twimg.com/profile_images/1915557396371693569/t1-Ys4pc_200x200.jpg,25455,0,0,2024-09-11T23:04:45.002Z,
